Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
Analysis and Reporting Manager,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
Financial Planning And Analysis Supervisor,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
Financial Planning & Analysis Assistant Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
business analysis,B-Solution,"6th of October, Giza, Egypt ",Full Time,Senior Management,1 - 20 Yrs of Exp,"Accounting/Finance,IT/Software Development,Analyst/Research,Analysis,Business Administration,Business Analysis,Commercial,Communication,Data,Information Technology (IT)"
Senior Financial Planning & Analysis,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Finance,Financial Analysis,SAP,ERP,CMA,CFA,Accounting,Microsoft Excel,Business Administration"
Budgeting & Financial Analysis Manager,Confidential,"Gharbia, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,"Accounting/Finance,Analyst/Research,analytical,Budget,business,Finance,Financial Analysis,Planning,Financial Management,Financial"
Associate Manager - Financial Planning & Analysis,"S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,Project Management,Marketing,PMP,Information Technology (IT),Computer Science,Engineering,Microsoft Office"
Vulnerability Analysis & Mapping Officer (Economic/Policy Analyst),World Food Program - Other locations,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Project/Program Management,Engineering - Telecom/Technology,information technology (it),computer science,microsoft office,networks,security,english,analysis"
Analysis and Reporting Manager,Antal International - Egypt,"Cairo, Egypt ",Full Time,Not specified,Not Specified,"Operations/Management,Analyst/Research,Finance,Accounting,Financial Analysis,Financial Management,Reporting,Microsoft Office,Financial Reporting"
"Senior Analyst,Financial Planning and Analysis","S. C. Johnson & Son, Inc.","Cairo, Egypt ",Full Time,Not specified,Not Specified,"Business Development,Analyst/Research,Finance,Accounting,Financial Analysis,Commerce,Financial Management,Analysis,Financial Planning"
Financial Planning And Analysis Supervisor,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Accounting/Finance,Analyst/Research,Accounting,Analysis,ERP,CMA,Finance,Financial Management,Financial Analysis,CPA"
Financial Planning & Analysis Assistant Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,10 - 11 Yrs of Exp,"Accounting/Finance,Banking,Financial Analysis,Accounting,CMA,Banking,Financial Management,Reporting,Planning,Analysis"
